riverFull,riverAbbr,section,lat,lon,riverN,sectionN,terminalTrib
WB Jimmy,OL,1,42.43456192,-72.67028945,3,1,1
WB Jimmy,OL,2,42.43474058,-72.67044088,3,2,1
WB Jimmy,OL,3,42.43489266,-72.67056735,3,3,1
WB Jimmy,OL,4,42.43507756,-72.67070369,3,4,1
WB Jimmy,OL,5,42.43524356,-72.67077381,3,5,1
WB Jimmy,OL,6,42.43544227,-72.67079573,3,6,1
WB Jimmy,OL,7,42.43564285,-72.67087931,3,7,1
WB Jimmy,OL,8,42.43582724,-72.67094527,3,8,1
WB Jimmy,OL,9,42.43602095,-72.67092297,3,9,1
WB Jimmy,OL,10,42.43619985,-72.67086821,3,10,1
WB Jimmy,OL,11,42.43636466,-72.67081151,3,11,1
WB Jimmy,OL,12,42.43654575,-72.67074806,3,12,1
WB Jimmy,OL,13,42.43672597,-72.67068491,3,13,1
WB Jimmy,OL,14,42.43690276,-72.67062313,3,14,1
WB Mitchell,OS,-1,42.4334241,-72.66812385,5,1,1
WB Mitchell,OS,0,42.43342411,-72.66812386,5,1,1
WB Mitchell,OS,1,42.43342412,-72.66812387,5,1,1
WB Mitchell,OS,2,42.43361561,-72.66806191,5,2,1
WB Mitchell,OS,3,42.43380677,-72.6679981,5,3,1
WB Mitchell,OS,4,42.43398127,-72.66792978,5,4,1
WB Mitchell,OS,5,42.4341398,-72.66783445,5,5,1
WB Mitchell,OS,6,42.43428354,-72.66765251,5,6,1
WB Mitchell,OS,7,42.43441216,-72.66747461,5,7,1
WB Mitchell,OS,8,42.43459037,-72.66738569,5,8,1
WB Mitchell,OS,9,42.43479893,-72.66744156,5,9,1
WB Mitchell,OS,10,42.43498781,-72.66752373,5,10,1
WB Mitchell,OS,11,42.43514387,-72.66752376,5,11,1
WB Mitchell,OS,12,42.43534153,-72.6674729,5,12,1
WB Mitchell,OS,13,42.43553644,-72.66739999,5,13,1
WB Mitchell,OS,14,42.43570226,-72.66730323,5,14,1
WB Mitchell,OS,15,42.43585346,-72.66711456,5,15,1
WB Obear,IL,1,42.4347646,-72.67141752,1,1,1
WB Obear,IL,2,42.4346665,-72.67163191,1,2,1
WB Obear,IL,3,42.43454365,-72.67180666,1,3,1
WB Obear,IL,4,42.43438699,-72.67191645,1,4,1
WB Obear,IL,5,42.434192,-72.67198907,1,5,1
WB Obear,IL,6,42.43400522,-72.67205164,1,6,1
WB Obear,IL,7,42.43380174,-72.67212363,1,7,1
WB Obear,IL,8,42.43363327,-72.67220514,1,8,1
WB Obear,IL,9,42.43348179,-72.67235397,1,9,1
WB Obear,IL,10,42.43335631,-72.67254176,1,10,1
WB Obear,IL,11,42.43320398,-72.6726987,1,11,1
WB Obear,IL,12,42.43303916,-72.67287279,1,12,1
WB Obear,IL,13,42.43294716,-72.67303657,1,13,1
WB Obear,IL,14,42.43283598,-72.67328329,1,14,1
WB Obear,IL,15,42.43274731,-72.67353412,1,15,1
West Brook,WB,1,42.43156482,-72.66401297,6,1,0
West Brook,WB,2,42.43167149,-72.66422061,6,2,0
West Brook,WB,3,42.43182096,-72.66441021,6,3,0
West Brook,WB,4,42.43193824,-72.66460794,6,4,0
West Brook,WB,5,42.43203836,-72.66481319,6,5,0
West Brook,WB,6,42.43216921,-72.66498319,6,6,0
West Brook,WB,7,42.43232162,-72.66521173,6,7,0
West Brook,WB,8,42.43241166,-72.66540143,6,8,0
West Brook,WB,9,42.432549,-72.6655865,6,9,0
West Brook,WB,10,42.43267889,-72.66577251,6,10,0
West Brook,WB,11,42.43275413,-72.66599629,6,11,0
West Brook,WB,12,42.43281013,-72.66626691,6,12,0
West Brook,WB,13,42.4328534,-72.66650552,6,13,0
West Brook,WB,14,42.43289412,-72.66673618,6,14,0
West Brook,WB,15,42.43294115,-72.66700251,6,15,0
West Brook,WB,16,42.43299324,-72.66729233,6,16,0
West Brook,WB,17,42.43303798,-72.66752411,6,17,0
West Brook,WB,18,42.43310476,-72.66775539,6,18,0
West Brook,WB,19,42.43322665,-72.66794722,6,19,0
West Brook,WB,20,42.43338456,-72.6680944,6,20,0
West Brook,WB,21,42.43345665,-72.66831854,4,1,0
West Brook,WB,22,42.43350075,-72.66857953,4,2,0
West Brook,WB,23,42.43354876,-72.6688329,4,3,0
West Brook,WB,24,42.43361743,-72.66907805,4,4,0
West Brook,WB,25,42.43373576,-72.66927691,4,5,0
West Brook,WB,26,42.43386203,-72.66943237,4,6,0
West Brook,WB,27,42.43397273,-72.66963577,4,7,0
West Brook,WB,28,42.43408451,-72.6698364,4,8,0
West Brook,WB,29,42.43422094,-72.66997852,4,9,0
West Brook,WB,30,42.4343686,-72.67010771,4,10,0
West Brook,WB,31,42.43454194,-72.67026781,4,11,0
West Brook,WB,32,42.43460063,-72.67049462,2,1,0
West Brook,WB,33,42.43464335,-72.67073216,2,2,1
West Brook,WB,34,42.43468794,-72.67099426,2,3,1
West Brook,WB,35,42.4347308,-72.67123302,2,4,1
West Brook,WB,36,42.43477652,-72.67148175,0,1,1
West Brook,WB,37,42.43477367,-72.67174964,0,2,1
West Brook,WB,38,42.4347254,-72.67199257,0,3,1
West Brook,WB,39,42.43468156,-72.67219396,0,4,1
West Brook,WB,40,42.43468033,-72.6724193,0,5,1
West Brook,WB,41,42.43470552,-72.67266273,0,6,1
West Brook,WB,42,42.43471365,-72.67289435,0,7,1
West Brook,WB,43,42.43466904,-72.67314314,0,8,1
West Brook,WB,44,42.43467719,-72.67342772,0,9,1
West Brook,WB,45,42.43479594,-72.6735986,0,10,1
West Brook,WB,46,42.43491086,-72.67380534,0,11,1
West Brook,WB,47,42.43502892,-72.67402248,0,12,1
